Prompt,IsFood,Cuisine Type,Cuisine Region,Dish Name
Can we get extra forks and spoons for our delivery order?,Yes,General,General,Cultery
"We need additional cutlery for our gathering. Can you bring it, please?",Yes,General,General,Cultery
Please bring us some extra cutlery for the appetizers.,Yes,General,General,Cultery
Can you provide us with extra sets of cutlery for the sharing platters?,Yes,General,General,Cultery
We would appreciate it if you could bring us some more chopsticks.,Yes,General,General,Cultery
"Could you bring us some extra plastic cutlery, please?",Yes,General,General,Cultery
"We require additional knives, forks, and spoons for our dinner party.",Yes,General,General,Cultery
"Can we have some more disposable utensils, please?",Yes,General,General,Cultery
Please bring us some additional cutlery for our potluck.,Yes,General,General,Cultery
Can you provide us with extra sets of cutlery for the catering event?,Yes,General,General,Cultery
We need some more cutlery. Could you please bring them to our table?,Yes,General,General,Cultery
"Can I have a serving of Tandoori Chicken, please?", ,Indian,General,Tandoori Chiken
"I'd like to order Tandoori Chicken, please.",Yes,Indian,General,Tandoori Chiken
"May I have a plate of Tandoori Chicken, please?",Yes,Indian,General,Tandoori Chiken
Can you bring me some Tandoori Chicken?,Yes,Indian,General,Tandoori Chiken
I'm craving Tandoori Chicken. Can you please bring me a plate?,Yes,Indian,General,Tandoori Chiken
I'd love to try your Tandoori Chicken. Please bring me a serving.,Yes,Indian,General,Tandoori Chiken
"One order of Tandoori Chicken, please.",Yes,Indian,General,Tandoori Chiken
Can you make my Tandoori Chicken extra spicy?,Yes,Indian,General,Tandoori Chiken
I want to enjoy the flavors of Tandoori Chicken. Please bring me a plate.,Yes,Indian,General,Tandoori Chiken
"Can I have a boneless Tandoori Chicken, please?",Yes,Indian,General,Tandoori Chiken
I'm in the mood for some Tandoori Chicken. Please bring me a plate.,Yes,Indian,General,Tandoori Chiken
Please prepare my Tandoori Chicken with a medium level of spiciness.,Yes,Indian,General,Tandoori Chiken
I'd like to order Tandoori Chicken with a side of mint chutney.,Yes,Indian,General,Tandoori Chiken
Can you make my Tandoori Chicken extra juicy and tender?,Yes,Indian,General,Tandoori Chiken
I'm a fan of smoky flavors. Can you make my Tandoori Chicken well-charred?,Yes,Indian,General,Tandoori Chiken
Can I have Tandoori Chicken with a side of naan bread?,Yes,Indian,General,Tandoori Chiken
I want to savor the authentic flavors. Can you prepare Tandoori Chicken as traditionally as possible?,Yes,Indian,General,Tandoori Chiken
Please make my Tandoori Chicken with a generous amount of yogurt marinade.,Yes,Indian,General,Tandoori Chiken
Can you make my Tandoori Chicken with a touch of lemon for a tangy twist?,Yes,Indian,General,Tandoori Chiken
I have dietary restrictions. Can you prepare a gluten-free version of Tandoori Chicken?,Yes,Indian,General,Tandoori Chiken
I'd like to order Tandoori Chicken with a side of raita.,Yes,Indian,General,Tandoori Chiken
Can you make my Tandoori Chicken with a blend of aromatic spices?,Yes,Indian,General,Tandoori Chiken
I'm looking for a healthier option. Can you make my Tandoori Chicken with skinless chicken?,Yes,Indian,General,Tandoori Chiken
Please make my Tandoori Chicken with a sprinkle of chaat masala on top.,Yes,Indian,General,Tandoori Chiken
Can I have Tandoori Chicken with a side of onion rings?,Yes,Indian,General,Tandoori Chiken
I'm in the mood for something spicy. Can you make my Tandoori Chicken extra hot?,Yes,Indian,General,Tandoori Chiken
Please make my Tandoori Chicken with a mix of red and yellow bell peppers for added color.,Yes,Indian,General,Tandoori Chiken
Can you make my Tandoori Chicken with a drizzle of mint yogurt sauce?,Yes,Indian,General,Tandoori Chiken
I'd like to order Tandoori Chicken with a side of tamarind chutney.,Yes,Indian,General,Tandoori Chiken
Can you make my Tandoori Chicken with a hint of smoky flavor?,Yes,Indian,General,Tandoori Chiken
I want my Tandoori Chicken to be well-marinated and flavorful.,Yes,Indian,General,Tandoori Chiken
Please make my Tandoori Chicken with a side of pickled onions.,Yes,Indian,General,Tandoori Chiken
Can you make my Tandoori Chicken with a touch of garam masala?,Yes,Indian,General,Tandoori Chiken
I'd like to order Tandoori Chicken with a side of cucumber salad.,Yes,Indian,General,Tandoori Chiken
Can you make my Tandoori Chicken with a spicy yogurt-based marinade?,Yes,Indian,General,Tandoori Chiken
Please make my Tandoori Chicken with a squeeze of lime for a citrusy kick.,Yes,Indian,General,Tandoori Chiken
I want my Tandoori Chicken to have a rich red color from the spices.,Yes,Indian,General,Tandoori Chiken
Can you make my Tandoori Chicken with a side of roasted potatoes?,Yes,Indian,General,Tandoori Chiken
I'd like to order Tandoori Chicken with a side of garlic naan bread.,Yes,Indian,General,Tandoori Chiken
Can you make my Tandoori Chicken with a sprinkle of chopped cilantro on top?,Yes,Indian,General,Tandoori Chiken
Please make my Tandoori Chicken with a side of mango chutney.,Yes,Indian,General,Tandoori Chiken
"Can I have a serving of Manchurian, please?",Yes,General,General,Manchurian
"I'd like to order Manchurian, please.",Yes,General,General,Manchurian
"May I have a plate of Manchurian, please?",Yes,General,General,Manchurian
Can you bring me some Manchurian?,Yes,General,General,Manchurian
I'm craving Manchurian. Can you please bring me a plate?,Yes,General,General,Manchurian
I'd love to try your Manchurian. Please bring me a serving.,Yes,General,General,Manchurian
"One order of Manchurian, please.",Yes,General,General,Manchurian
Can you make my Manchurian extra spicy?,Yes,General,General,Manchurian
I want to enjoy the flavors of Manchurian. Please bring me a plate.,Yes,General,General,Manchurian
Can I have a vegetarian option for Manchurian?,Yes,General,General,Manchurian
I'm in the mood for some Manchurian. Please bring me a plate.,Yes,General,General,Manchurian
Please prepare my Manchurian with a medium level of spiciness.,Yes,General,General,Manchurian
I'd like to order Manchurian with a side of fried rice.,Yes,General,General,Manchurian
"Can you make my Manchurian extra crispy, please?",Yes,General,General,Manchurian
I'm a fan of sweet and tangy flavors. Can you make my Manchurian with a tangy sauce?,Yes,General,General,Manchurian
Can I have Manchurian with a side of noodles?,Yes,General,General,Manchurian
I want to savor the authentic flavors. Can you prepare Manchurian as traditionally as possible?,Yes,General,General,Manchurian
Please make my Manchurian with a generous amount of garlic and ginger.,Yes,General,General,Manchurian
Can you make my Manchurian with a touch of soy sauce for a savory kick?,Yes,General,General,Manchurian
I have dietary restrictions. Can you prepare a gluten-free version of Manchurian?,Yes,General,General,Manchurian
I'd like to order Manchurian with a side of chili garlic sauce.,Yes,General,General,Manchurian
Can you make my Manchurian with a blend of colorful bell peppers?,Yes,General,General,Manchurian
I'm looking for a healthier option. Can you make my Manchurian with steamed vegetables?,Yes,General,General,Manchurian
Please make my Manchurian with a sprinkle of sesame seeds on top.,Yes,General,General,Manchurian
Can I have Manchurian with a side of vegetable fried rice?,Yes,General,General,Manchurian
I'm in the mood for something spicy. Can you make my Manchurian extra hot?,Yes,General,General,Manchurian
Please make my Manchurian with a mix of crunchy cabbage and carrots.,Yes,General,General,Manchurian
Can you make my Manchurian with a drizzle of tangy sauce?,Yes,General,General,Manchurian
I'd like to order Manchurian with a side of spring rolls.,Yes,General,General,Manchurian
Can you make my Manchurian with a hint of black pepper for added flavor?,Yes,General,General,Manchurian
Please make my Manchurian with a side of sweet and sour sauce.,Yes,General,General,Manchurian
Can you make my Manchurian with a touch of green chilies for heat?,Yes,General,General,Manchurian
I'd like to order Manchurian with a side of vegetable noodles.,Yes,General,General,Manchurian
Can you make my Manchurian with a spicy and garlicky sauce?,Yes,General,General,Manchurian
Please make my Manchurian with a squeeze of lemon for a tangy twist.,Yes,General,General,Manchurian
I want my Manchurian to have a crispy texture with a soft center.,Yes,General,General,Manchurian
Can you make my Manchurian with a side of chili vinegar?,Yes,General,General,Manchurian
I'd like to order Manchurian with a side of fried momos.,Yes,General,General,Manchurian
Can you make my Manchurian with a sprinkle of spring onion greens on top?,Yes,General,General,Manchurian
Please make my Manchurian with a side of hot and sour soup.,Yes,General,General,Manchurian
Can I have Manchurian with a side of vegetable hakka noodles?,Yes,General,General,Manchurian
"Can I have a Chicken Tikka Sandwich, please?",Yes,Indian,West India,Chiken Tikka Sandwish
"I'd like to order a Chicken Tikka Sandwich, please.",Yes,Indian,West India,Chiken Tikka Sandwish
"May I have a Chicken Tikka Sandwich, please?",Yes,Indian,West India,Chiken Tikka Sandwish
Can you bring me a Chicken Tikka Sandwich?,Yes,Indian,West India,Chiken Tikka Sandwish
I'm craving a Chicken Tikka Sandwich. Can you please bring me one?,Yes,Indian,West India,Chiken Tikka Sandwish
I'd love to try your Chicken Tikka Sandwich. Please bring me one.,Yes,Indian,West India,Chiken Tikka Sandwish
"One Chicken Tikka Sandwich, please.",Yes,Indian,West India,Chiken Tikka Sandwish
Can you make my Chicken Tikka Sandwich extra spicy?,Yes,Indian,West India,Chiken Tikka Sandwish
I want to enjoy the flavors of a Chicken Tikka Sandwich. Please bring me one.,Yes,Indian,West India,Chiken Tikka Sandwish
Can I have a Chicken Tikka Sandwich with a side of fries?,Yes,Indian,West India,Chiken Tikka Sandwish
I'm in the mood for a Chicken Tikka Sandwich. Please bring me one.,Yes,Indian,West India,Chiken Tikka Sandwish
Please prepare my Chicken Tikka Sandwich with a medium level of spiciness.,Yes,Indian,West India,Chiken Tikka Sandwish
I'd like to order a Chicken Tikka Sandwich with a side of coleslaw.,Yes,Indian,West India,Chiken Tikka Sandwish
"Can you make my Chicken Tikka Sandwich extra cheesy, please?",Yes,Indian,West India,Chiken Tikka Sandwish
I'm a fan of tangy flavors. Can you add some tangy sauce to my Chicken Tikka Sandwich?,Yes,Indian,West India,Chiken Tikka Sandwish
Can I have a Chicken Tikka Sandwich with a side of salad?,Yes,Indian,West India,Chiken Tikka Sandwish
I want to savor the authentic flavors. Please prepare my Chicken Tikka Sandwich as traditionally as possible.,Yes,Indian,West India,Chiken Tikka Sandwish
Please make my Chicken Tikka Sandwich with a generous amount of grilled chicken tikka.,Yes,Indian,West India,Chiken Tikka Sandwish
Can you make my Chicken Tikka Sandwich with a touch of mint chutney?,Yes,Indian,West India,Chiken Tikka Sandwish
I have dietary restrictions. Can you prepare a gluten-free version of the Chicken Tikka Sandwich?,Yes,Indian,West India,Chiken Tikka Sandwish
I'd like to order a Chicken Tikka Sandwich with a side of spicy mayo.,Yes,Indian,West India,Chiken Tikka Sandwish
Can you make my Chicken Tikka Sandwich with a blend of fresh veggies?,Yes,Indian,West India,Chiken Tikka Sandwish
I'm looking for a healthier option. Can you make my Chicken Tikka Sandwich on whole wheat bread?,Yes,Indian,West India,Chiken Tikka Sandwish
Please make my Chicken Tikka Sandwich with a sprinkle of chaat masala on top.,Yes,Indian,West India,Chiken Tikka Sandwish
Can I have a Chicken Tikka Sandwich with a side of pickles?,Yes,Indian,West India,Chiken Tikka Sandwish
I'm in the mood for something spicy. Can you make my Chicken Tikka Sandwich extra hot?,Yes,Indian,West India,Chiken Tikka Sandwish
Please make my Chicken Tikka Sandwich with a mix of lettuce and tomatoes.,Yes,Indian,West India,Chiken Tikka Sandwish
Can you make my Chicken Tikka Sandwich with a drizzle of garlic aioli?,Yes,Indian,West India,Chiken Tikka Sandwish
I'd like to order a Chicken Tikka Sandwich with a side of potato chips.,Yes,Indian,West India,Chiken Tikka Sandwish
Can you make my Chicken Tikka Sandwich with a hint of smoky flavor?,Yes,Indian,West India,Chiken Tikka Sandwish
Please make my Chicken Tikka Sandwich with a side of sweet and spicy chutney.,Yes,Indian,West India,Chiken Tikka Sandwish
Can you make my Chicken Tikka Sandwich with a touch of onion and capsicum?,Yes,Indian,West India,Chiken Tikka Sandwish
I'd like to order a Chicken Tikka Sandwich with a side of seasoned fries.,Yes,Indian,West India,Chiken Tikka Sandwish
Can you make my Chicken Tikka Sandwich with a tangy yogurt-based sauce?,Yes,Indian,West India,Chiken Tikka Sandwish
Please make my Chicken Tikka Sandwich with a squeeze of lemon for a citrusy kick.,Yes,Indian,West India,Chiken Tikka Sandwish
I want my Chicken Tikka Sandwich to have a perfect balance of flavors.,Yes,Indian,West India,Chiken Tikka Sandwish
Can you make my Chicken Tikka Sandwich with a side of mint yogurt dip?,Yes,Indian,West India,Chiken Tikka Sandwish
I'd like to order a Chicken Tikka Sandwich with a side of mixed greens.,Yes,Indian,West India,Chiken Tikka Sandwish
Can you make my Chicken Tikka Sandwich with a sprinkle of fresh cilantro on top?,Yes,Indian,West India,Chiken Tikka Sandwish
Please make my Chicken Tikka Sandwich with a side of spicy tomato ketchup.,Yes,Indian,West India,Chiken Tikka Sandwish
Can I have a Chicken Tikka Sandwich with a side of onion rings?,Yes,Indian,West India,Chiken Tikka Sandwish
"Can I have a plate of Chicken 6, please?",Yes,Indian,South India,Chiken 65
"I'd like to order Chicken 6, please.",Yes,Indian,South India,Chiken 65
"May I have a serving of Chicken 6, please?",Yes,Indian,South India,Chiken 65
Can you bring me some Chicken 6?,Yes,Indian,South India,Chiken 65
I'm craving Chicken 6 Can you please bring me a plate?,Yes,Indian,South India,Chiken 65
I'd love to try your Chicken 6 Please bring me a serving.,Yes,Indian,South India,Chiken 65
"One order of Chicken 6, please.",Yes,Indian,South India,Chiken 65
Can you make my Chicken 6 extra spicy?,Yes,Indian,South India,Chiken 65
I want to enjoy the flavors of Chicken 6 Please bring me a plate.,Yes,Indian,South India,Chiken 65
"Can I have a boneless Chicken 6, please?",Yes,Indian,South India,Chiken 65
I'm in the mood for some Chicken 6 Please bring me a plate.,Yes,Indian,South India,Chiken 65
Please prepare my Chicken 6 with a medium level of spiciness.,Yes,Indian,South India,Chiken 65
I'd like to order Chicken 6 with a side of mint chutney.,Yes,Indian,South India,Chiken 65
"Can you make my Chicken 6 extra crispy, please?",Yes,Indian,South India,Chiken 65
I'm a fan of bold and tangy flavors. Can you make my Chicken 6 with a tangy sauce?,Yes,Indian,South India,Chiken 65
Can I have Chicken 6 with a side of biryani rice?,Yes,Indian,South India,Chiken 65
I want to savor the authentic flavors. Can you prepare Chicken 6 as traditionally as possible?,Yes,Indian,South India,Chiken 65
Please make my Chicken 6 with a generous amount of curry leaves and spices.,Yes,Indian,South India,Chiken 65
Can you make my Chicken 6 with a touch of lemon for a citrusy kick?,Yes,Indian,South India,Chiken 65
I have dietary restrictions. Can you prepare a gluten-free version of Chicken 6?,Yes,Indian,South India,Chiken 65
I'd like to order Chicken 6 with a side of raita.,Yes,Indian,South India,Chiken 65
Can you make my Chicken 6 with a blend of aromatic spices and herbs?,Yes,Indian,South India,Chiken 65
I'm looking for a healthier option. Can you make my Chicken 6 with less oil?,Yes,Indian,South India,Chiken 65
Please make my Chicken 6 with a sprinkle of sesame seeds on top.,Yes,Indian,South India,Chiken 65
Can I have Chicken 6 with a side of onion and cucumber salad?,Yes,Indian,South India,Chiken 65
I'm in the mood for something spicy. Can you make my Chicken 6 extra hot?,Yes,Indian,South India,Chiken 65
Please make my Chicken 6 with a mix of red and green chilies for added heat.,Yes,Indian,South India,Chiken 65
Can you make my Chicken 6 with a drizzle of yogurt-based sauce?,Yes,Indian,South India,Chiken 65
I'd like to order Chicken 6 with a side of naan bread.,Yes,Indian,South India,Chiken 65
Can you make my Chicken 6 with a hint of smoky flavor?,Yes,Indian,South India,Chiken 65
Please make my Chicken 6 with a side of tamarind chutney.,Yes,Indian,South India,Chiken 65
Can you make my Chicken 6 with a touch of black pepper for a savory kick?,Yes,Indian,South India,Chiken 65
I'd like to order Chicken 6 with a side of crispy fried onions.,Yes,Indian,South India,Chiken 65
Can you make my Chicken 6 with a spicy and tangy marinade?,Yes,Indian,South India,Chiken 65
Please make my Chicken 6 with a squeeze of lime for a refreshing taste.,Yes,Indian,South India,Chiken 65
I want my Chicken 6 to have a crispy texture with a juicy center.,Yes,Indian,South India,Chiken 65
Can you make my Chicken 6 with a side of spicy tomato ketchup?,Yes,Indian,South India,Chiken 65
I'd like to order Chicken 6 with a side of yogurt-based dip.,Yes,Indian,South India,Chiken 65
Can you make my Chicken 6 with a sprinkle of chopped cilantro on top?,Yes,Indian,South India,Chiken 65
Please make my Chicken 6 with a side of hot and sour soup.,Yes,Indian,South India,Chiken 65
Can I have Chicken 6 with a side of crispy papadums?,Yes,Indian,South India,Chiken 65
"Can I have a Butter Naan, please?",Yes,Indian,South India,Butter Naan
"I'd like to order a Butter Naan, please.",Yes,Indian,South India,Butter Naan
"May I have a serving of Butter Naan, please?",Yes,Indian,South India,Butter Naan
Can you bring me some Butter Naan?,Yes,Indian,South India,Butter Naan
I'm craving Butter Naan. Can you please bring me one?,Yes,Indian,South India,Butter Naan
I'd love to try your Butter Naan. Please bring me a serving.,Yes,Indian,South India,Butter Naan
"One order of Butter Naan, please.",Yes,Indian,South India,Butter Naan
